Position,Player,Elo,Rating deviation (RD),Matches played,Matches won,Matches loss,Matches drawn
1,Ezequiel Perich,1938,201.25970321586595,4,3,0,1
2,Juan Riveros,1795,212.3246898434955,4,3,1,0
3,Gavier Martinez,1782,197.74820793505077,4,3,1,0
4,Matias Chilperico,1777,213.08392494042332,4,3,0,1
5,Hernan Sanchez,1663,199.88160264707682,4,3,1,0
6,Ezequiel Menoyo,1647,214.44021131267607,4,3,1,0
7,Francisco Lescano,1514,229.40790197245818,3,1,2,0
8,Lautaro Caceres,1513,197.77063577713304,4,2,2,0
9,Agustin Cipriani,1489,198.54623161713167,4,2,1,1
10,Martin Rodriguez,1450,212.33615401162794,4,2,2,0
11,Franco Bonfiglio,1435,240.0164071123782,3,1,2,0
12,Li,1379,201.39980392450948,4,1,3,0
13,Nicolas Vieyra,1338,220.39965631991996,4,1,2,1
14,Ignacio Guzman,1224,202.68850246984482,4,1,3,0
15,Franco Alvarez,1219,195.87235117408525,4,1,3,0
16,Agustin Boasso,1167,221.66697977130414,3,0,3,0
17,Juan Salazar,1164,241.3183605886768,3,0,3,0
